target_id,comparator_id,outcome_id,analysis_id,target_min_days,target_p10_days,target_p25_days,target_median_days,target_p75_days,target_p90_days,target_max_days,comparator_min_days,comparator_p10_days,comparator_p25_days,comparator_median_days,comparator_p75_days,comparator_p90_days,comparator_max_days,database_id
239,237,59,1,1,207.40000000000003,567,1331,2718.3999999999996,3129.6000000000013,6189,1,147,527,1286,2917.3999999999996,3224.8000000000006,6118,TMU_CRD
239,237,60,1,15,239,652.5,1476.5,2823.2,3268.5,6203,8,198.5,582,1464,3065.0999999999995,3351.7000000000003,6118,TMU_CRD
239,237,61,1,4,239,671.5,1500,2903,3284,6203,8,216,630,1583,3182.5,3466,6118,TMU_CRD
239,237,63,1,1,203,586.5,1346,2798.9500000000003,3215.9,6189,1,164.3,550.75,1472.5,3099.55,3351.1,6118,TMU_CRD
239,237,274,1,15,239,670,1500,2886.5,3284,6203,8,216,630,1583,3182.5,3466,6118,TMU_CRD
239,237,277,1,15,239,671.5,1504,2903,3284,6203,8,216,630,1580,3179,3466,6118,TMU_CRD
239,237,281,1,15,239,676.5,1504,2903,3284,6203,8,216,630,1583,3182.5,3466,6118,TMU_CRD
239,237,283,1,15,239,676.5,1504,2886.5,3284,6203,8,216,617,1583,3182.5,3466,6118,TMU_CRD
239,237,284,1,15,239,676.5,1504,2903,3284,6203,8,216,630,1583,3182.5,3466,6118,TMU_CRD
239,237,285,1,15,239,676.5,1504,2903,3284,6203,8,216,630,1583,3182.5,3466,6118,TMU_CRD
239,237,286,1,15,239,676.5,1504,2903,3284,6203,8,216,630,1583,3182.5,3466,6118,TMU_CRD
239,237,290,1,15,229.40000000000003,669,1439,2869.8,3229.2000000000003,6203,5,216.4,592,1551,3098.7999999999997,3354.6000000000004,6118,TMU_CRD
239,237,291,1,15,239,671.5,1504,2903,3284,6203,8,216,630,1580,3179,3466,6118,TMU_CRD
239,237,292,1,15,239,665.75,1487,2834.1499999999996,3282.500000000001,6203,8,198.5,582,1464,3065.0999999999995,3351.7000000000003,6118,TMU_CRD
