target_id,comparator_id,outcome_id,analysis_id,rr,ci_95_lb,ci_95_ub,p,i_2,log_rr,se_log_rr,target_subjects,comparator_subjects,target_days,comparator_days,target_outcomes,comparator_outcomes,calibrated_p,calibrated_rr,calibrated_ci_95_lb,calibrated_ci_95_ub,calibrated_log_rr,calibrated_se_log_rr,database_id
239,237,59,1,0.970588235294123,0.599494442545456,1.56959073619493,0.903229412615927,NA,-0.0298529631496758,0.245536012420104,485,485,738084,743620,62,57,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,60,1,0.933333333333331,0.445465386465655,1.94354245703558,0.854339456225918,NA,-0.068992871486954,0.375809979000472,512,512,831736,846455,23,28,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,61,1,NA,NA,NA,NA,NA,NA,NA,531,531,876055,925881,-5,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,63,1,1.21052631578948,0.660122646738133,2.24636404046861,0.540839522018739,NA,0.191055236762711,0.312414556999367,504,504,783241,826260,39,35,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,274,1,NA,NA,NA,NA,NA,NA,NA,531,531,873482,925881,-5,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,277,1,1,0.0395799610481354,25.2653103620755,1,NA,0,1.64769982939051,531,531,876440,923898,-5,-5,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,281,1,NA,NA,NA,NA,NA,NA,NA,531,531,877713,925881,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,283,1,NA,NA,NA,NA,NA,NA,NA,531,531,876800,925424,-5,-5,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,284,1,NA,NA,NA,NA,NA,NA,NA,531,531,877713,925881,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,285,1,NA,NA,NA,NA,NA,NA,NA,531,531,877713,925881,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,286,1,NA,NA,NA,NA,NA,NA,NA,531,531,877713,925881,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,290,1,1.5,0.540945599920343,4.47482146524018,0.45191133744055,NA,0.405465108108164,0.539015775654311,513,513,831305,868743,13,15,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,291,1,1,0.0395799610481354,25.2653103620755,1,NA,0,1.64769982939051,531,531,876440,923898,-5,-5,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,292,1,0.800000000000001,0.367052934644401,1.70629644627805,0.569181341111097,NA,-0.223143551314209,0.391990469774728,512,512,834160,846455,21,28,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,501343,1,NA,NA,NA,NA,NA,NA,NA,531,531,877713,925881,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,781705,1,NA,NA,NA,NA,NA,NA,NA,531,531,877713,925881,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,903031,1,NA,NA,NA,NA,NA,NA,NA,531,531,877713,925881,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,929542,1,NA,NA,NA,NA,NA,NA,NA,531,531,877713,925881,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,951980,1,NA,NA,NA,NA,NA,NA,NA,531,531,877713,925881,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,958999,1,NA,NA,NA,NA,NA,NA,NA,531,531,877713,925881,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,1368823,1,NA,NA,NA,NA,NA,NA,NA,531,531,877713,925881,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,1385645,1,NA,NA,NA,NA,NA,NA,NA,531,531,877713,925881,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,1394333,1,NA,NA,NA,NA,NA,NA,NA,531,531,877713,925881,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,1401581,1,NA,NA,NA,NA,NA,NA,NA,531,531,877713,925881,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,1502877,1,NA,NA,NA,NA,NA,NA,NA,531,531,877713,925881,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,1593397,1,NA,NA,NA,NA,NA,NA,NA,531,531,877713,925881,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,1701651,1,NA,NA,NA,NA,NA,NA,NA,531,531,877713,925881,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,1728903,1,NA,NA,NA,NA,NA,NA,NA,531,531,877713,925881,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,1745072,1,NA,NA,NA,NA,NA,NA,NA,531,531,877713,925881,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,1750928,1,NA,NA,NA,NA,NA,NA,NA,531,531,877713,925881,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
