"time","target_survival","target_survival_lb","target_survival_ub","comparator_survival","comparator_survival_lb","comparator_survival_ub","target_at_risk","comparator_at_risk","target_id","comparator_id","outcome_id","analysis_id","database_id"
0,1,1,1,1,1,1,531,531,239,237,274,1,"TMU_CRD"
8,1,1,1,1,1,1,NA,NA,239,237,274,1,"TMU_CRD"
39,0.9981,0.9944,1,1,1,1,NA,NA,239,237,274,1,"TMU_CRD"
250,0.9981,0.9944,1,1,1,1,474,462,239,237,274,1,"TMU_CRD"
286,0.996,0.9904,1,1,1,1,NA,NA,239,237,274,1,"TMU_CRD"
500,0.996,0.9904,1,1,1,1,423,425,239,237,274,1,"TMU_CRD"
750,0.996,0.9904,1,1,1,1,385,376,239,237,274,1,"TMU_CRD"
1000,0.996,0.9904,1,1,1,1,344,332,239,237,274,1,"TMU_CRD"
1250,0.996,0.9904,1,1,1,1,305,302,239,237,274,1,"TMU_CRD"
1500,0.996,0.9904,1,1,1,1,266,277,239,237,274,1,"TMU_CRD"
1750,0.996,0.9904,1,1,1,1,216,239,239,237,274,1,"TMU_CRD"
2000,0.996,0.9904,1,1,1,1,173,205,239,237,274,1,"TMU_CRD"
2250,0.996,0.9904,1,1,1,1,135,173,239,237,274,1,"TMU_CRD"
2500,0.996,0.9904,1,1,1,1,119,148,239,237,274,1,"TMU_CRD"
2750,0.996,0.9904,1,1,1,1,93,120,239,237,274,1,"TMU_CRD"
3000,0.996,0.9904,1,1,1,1,71,99,239,237,274,1,"TMU_CRD"
3250,0.996,0.9904,1,1,1,1,56,75,239,237,274,1,"TMU_CRD"
0,1,1,1,1,1,1,531,531,239,237,277,1,"TMU_CRD"
8,1,1,1,1,1,1,NA,NA,239,237,277,1,"TMU_CRD"
250,1,1,1,1,1,1,475,462,239,237,277,1,"TMU_CRD"
416,0.9978,0.9934,1,1,1,1,NA,NA,239,237,277,1,"TMU_CRD"
500,0.9978,0.9934,1,1,1,1,424,425,239,237,277,1,"TMU_CRD"
750,0.9978,0.9934,1,1,1,1,386,376,239,237,277,1,"TMU_CRD"
1000,0.9978,0.9934,1,1,1,1,345,332,239,237,277,1,"TMU_CRD"
1250,0.9978,0.9934,1,1,1,1,305,302,239,237,277,1,"TMU_CRD"
1391,0.9978,0.9934,1,0.9965,0.9898,1,NA,NA,239,237,277,1,"TMU_CRD"
1500,0.9978,0.9934,1,0.9965,0.9898,1,267,276,239,237,277,1,"TMU_CRD"
1750,0.9978,0.9934,1,0.9965,0.9898,1,217,238,239,237,277,1,"TMU_CRD"
2000,0.9978,0.9934,1,0.9965,0.9898,1,174,204,239,237,277,1,"TMU_CRD"
2250,0.9978,0.9934,1,0.9965,0.9898,1,136,172,239,237,277,1,"TMU_CRD"
2500,0.9978,0.9934,1,0.9965,0.9898,1,120,147,239,237,277,1,"TMU_CRD"
2750,0.9978,0.9934,1,0.9965,0.9898,1,94,119,239,237,277,1,"TMU_CRD"
3000,0.9978,0.9934,1,0.9965,0.9898,1,72,98,239,237,277,1,"TMU_CRD"
3250,0.9978,0.9934,1,0.9965,0.9898,1,56,74,239,237,277,1,"TMU_CRD"
0,1,1,1,1,1,1,531,531,239,237,281,1,"TMU_CRD"
8,1,1,1,1,1,1,NA,NA,239,237,281,1,"TMU_CRD"
250,1,1,1,1,1,1,475,462,239,237,281,1,"TMU_CRD"
500,1,1,1,1,1,1,425,425,239,237,281,1,"TMU_CRD"
750,1,1,1,1,1,1,387,376,239,237,281,1,"TMU_CRD"
1000,1,1,1,1,1,1,346,332,239,237,281,1,"TMU_CRD"
1250,1,1,1,1,1,1,307,302,239,237,281,1,"TMU_CRD"
1500,1,1,1,1,1,1,267,277,239,237,281,1,"TMU_CRD"
1750,1,1,1,1,1,1,217,239,239,237,281,1,"TMU_CRD"
2000,1,1,1,1,1,1,174,205,239,237,281,1,"TMU_CRD"
2250,1,1,1,1,1,1,136,173,239,237,281,1,"TMU_CRD"
2500,1,1,1,1,1,1,120,148,239,237,281,1,"TMU_CRD"
2750,1,1,1,1,1,1,94,120,239,237,281,1,"TMU_CRD"
3000,1,1,1,1,1,1,72,99,239,237,281,1,"TMU_CRD"
3250,1,1,1,1,1,1,56,75,239,237,281,1,"TMU_CRD"
0,1,1,1,1,1,1,531,531,239,237,283,1,"TMU_CRD"
8,1,1,1,1,1,1,NA,NA,239,237,283,1,"TMU_CRD"
250,1,1,1,1,1,1,475,462,239,237,283,1,"TMU_CRD"
372,1,1,1,0.9978,0.9934,1,NA,NA,239,237,283,1,"TMU_CRD"
500,1,1,1,0.9978,0.9934,1,425,424,239,237,283,1,"TMU_CRD"
750,1,1,1,0.9978,0.9934,1,387,375,239,237,283,1,"TMU_CRD"
1000,1,1,1,0.9978,0.9934,1,346,332,239,237,283,1,"TMU_CRD"
1250,1,1,1,0.9978,0.9934,1,307,302,239,237,283,1,"TMU_CRD"
1500,1,1,1,0.9978,0.9934,1,267,277,239,237,283,1,"TMU_CRD"
1750,1,1,1,0.9978,0.9934,1,217,239,239,237,283,1,"TMU_CRD"
1993,0.9943,0.9832,1,0.9978,0.9934,1,NA,NA,239,237,283,1,"TMU_CRD"
2000,0.9943,0.9832,1,0.9978,0.9934,1,173,205,239,237,283,1,"TMU_CRD"
2250,0.9943,0.9832,1,0.9978,0.9934,1,135,173,239,237,283,1,"TMU_CRD"
2500,0.9943,0.9832,1,0.9978,0.9934,1,119,148,239,237,283,1,"TMU_CRD"
2750,0.9943,0.9832,1,0.9978,0.9934,1,93,120,239,237,283,1,"TMU_CRD"
3000,0.9943,0.9832,1,0.9978,0.9934,1,72,99,239,237,283,1,"TMU_CRD"
3250,0.9943,0.9832,1,0.9978,0.9934,1,56,75,239,237,283,1,"TMU_CRD"
0,1,1,1,1,1,1,531,531,239,237,284,1,"TMU_CRD"
8,1,1,1,1,1,1,NA,NA,239,237,284,1,"TMU_CRD"
