covariate_id,covariate_name,covariate_analysis_id,analysis_id,database_id
1904,CHADS2VASc,904,1,TMU_CRD
1902,Diabetes Comorbidity Severity Index (DCSI),902,1,TMU_CRD
5007,index month: 5,7,1,TMU_CRD
2007,index month: 2,7,1,TMU_CRD
11007,index month: 11,7,1,TMU_CRD
8007,index month: 8,7,1,TMU_CRD
3007,index month: 3,7,1,TMU_CRD
6007,index month: 6,7,1,TMU_CRD
9007,index month: 9,7,1,TMU_CRD
12007,index month: 12,7,1,TMU_CRD
4007,index month: 4,7,1,TMU_CRD
1007,index month: 1,7,1,TMU_CRD
7007,index month: 7,7,1,TMU_CRD
10007,index month: 10,7,1,TMU_CRD
38003564005,ethnicity = Not Hispanic or Latino,5,1,TMU_CRD
17003,age group:  85 -  89,3,1,TMU_CRD
6003,age group:  30 -  34,3,1,TMU_CRD
9003,age group:  45 -  49,3,1,TMU_CRD
12003,age group:  60 -  64,3,1,TMU_CRD
18003,age group:  90 -  94,3,1,TMU_CRD
15003,age group:  75 -  79,3,1,TMU_CRD
4003,age group:  20 -  24,3,1,TMU_CRD
7003,age group:  35 -  39,3,1,TMU_CRD
10003,age group:  50 -  54,3,1,TMU_CRD
13003,age group:  65 -  69,3,1,TMU_CRD
16003,age group:  80 -  84,3,1,TMU_CRD
19003,age group:  95 -  99,3,1,TMU_CRD
5003,age group:  25 -  29,3,1,TMU_CRD
8003,age group:  40 -  44,3,1,TMU_CRD
11003,age group:  55 -  59,3,1,TMU_CRD
14003,age group:  70 -  74,3,1,TMU_CRD
8552004,race = Unknown,4,1,TMU_CRD
38003580004,race = Taiwanese,4,1,TMU_CRD
1901,Charlson index - Romano adaptation,901,1,TMU_CRD
1903,CHADS2,903,1,TMU_CRD
2018006,index year: 2018,6,1,TMU_CRD
2004006,index year: 2004,6,1,TMU_CRD
2010006,index year: 2010,6,1,TMU_CRD
2007006,index year: 2007,6,1,TMU_CRD
2016006,index year: 2016,6,1,TMU_CRD
2019006,index year: 2019,6,1,TMU_CRD
2013006,index year: 2013,6,1,TMU_CRD
2005006,index year: 2005,6,1,TMU_CRD
2008006,index year: 2008,6,1,TMU_CRD
2011006,index year: 2011,6,1,TMU_CRD
2014006,index year: 2014,6,1,TMU_CRD
2020006,index year: 2020,6,1,TMU_CRD
2017006,index year: 2017,6,1,TMU_CRD
2009006,index year: 2009,6,1,TMU_CRD
2006006,index year: 2006,6,1,TMU_CRD
2015006,index year: 2015,6,1,TMU_CRD
2012006,index year: 2012,6,1,TMU_CRD
381174204,condition_era during day -30 through 0 days relative to index: Contusion of globe of eye,204,1,TMU_CRD
376714204,condition_era during day -30 through 0 days relative to index: Vertebrobasilar artery syndrome,204,1,TMU_CRD
376961204,condition_era during day -30 through 0 days relative to index: Disturbance of consciousness,204,1,TMU_CRD
376971204,condition_era during day -30 through 0 days relative to index: Retinal defect,204,1,TMU_CRD
376973204,condition_era during day -30 through 0 days relative to index: Cataract secondary to ocular disease,204,1,TMU_CRD
377091204,condition_era during day -30 through 0 days relative to index: Seizure,204,1,TMU_CRD
377254204,"condition_era during day -30 through 0 days relative to index: Multi-infarct dementia, uncomplicated",204,1,TMU_CRD
433811204,condition_era during day -30 through 0 days relative to index: Hydronephrosis,204,1,TMU_CRD
438720204,condition_era during day -30 through 0 days relative to index: Mixed hyperlipidemia,204,1,TMU_CRD
377575204,condition_era during day -30 through 0 days relative to index: Tinnitus,204,1,TMU_CRD
377604204,condition_era during day -30 through 0 days relative to index: Hepatic coma,204,1,TMU_CRD
381270204,condition_era during day -30 through 0 days relative to index: Parkinson's disease,204,1,TMU_CRD
432795204,condition_era during day -30 through 0 days relative to index: Traumatic AND/OR non-traumatic injury,204,1,TMU_CRD
380055204,condition_era during day -30 through 0 days relative to index: Primary malignant neoplasm of brain,204,1,TMU_CRD
380094204,condition_era during day -30 through 0 days relative to index: Carpal tunnel syndrome,204,1,TMU_CRD
380378204,condition_era during day -30 through 0 days relative to index: Epilepsy,204,1,TMU_CRD
380397204,condition_era during day -30 through 0 days relative to index: Keratoconjunctivitis,204,1,TMU_CRD
380403204,condition_era during day -30 through 0 days relative to index: External hordeolum,204,1,TMU_CRD
380415204,condition_era during day -30 through 0 days relative to index: Acute otitis externa,204,1,TMU_CRD
434169204,condition_era during day -30 through 0 days relative to index: Abnormal findings on diagnostic imaging of breast,204,1,TMU_CRD
434172204,condition_era during day -30 through 0 days relative to index: Insomnia with sleep apnea,204,1,TMU_CRD
434190204,condition_era during day -30 through 0 days relative to index: Cerebellar contusion without open intracranial wound,204,1,TMU_CRD
377845204,condition_era during day -30 through 0 days relative to index: Anoxic encephalopathy,204,1,TMU_CRD
433978204,condition_era during day -30 through 0 days relative to index: Benign neoplasm of hypopharynx,204,1,TMU_CRD
380834204,condition_era during day -30 through 0 days relative to index: Coma,204,1,TMU_CRD
375545204,condition_era during day -30 through 0 days relative to index: Cataract,204,1,TMU_CRD
375552204,condition_era during day -30 through 0 days relative to index: Pterygium,204,1,TMU_CRD
375791204,condition_era during day -30 through 0 days relative to index: Uncomplicated senile dementia,204,1,TMU_CRD
375824204,condition_era during day -30 through 0 days relative to index: Abnormal auditory perception,204,1,TMU_CRD
433435204,condition_era during day -30 through 0 days relative to index: Carcinoma in situ,204,1,TMU_CRD
