"time","target_survival","target_survival_lb","target_survival_ub","comparator_survival","comparator_survival_lb","comparator_survival_ub","target_at_risk","comparator_at_risk","target_id","comparator_id","outcome_id","analysis_id","database_id"
0,1,1,1,1,1,1,530,530,239,237,274,1,"TMU_CRD"
1,0.9981,0.9944,1,1,1,1,NA,NA,239,237,274,1,"TMU_CRD"
39,0.9962,0.991,1,1,1,1,NA,NA,239,237,274,1,"TMU_CRD"
250,0.9962,0.991,1,1,1,1,480,467,239,237,274,1,"TMU_CRD"
286,0.9941,0.9875,1,1,1,1,NA,NA,239,237,274,1,"TMU_CRD"
500,0.9941,0.9875,1,1,1,1,431,429,239,237,274,1,"TMU_CRD"
709,0.9941,0.9875,1,0.9974,0.9922,1,NA,NA,239,237,274,1,"TMU_CRD"
750,0.9941,0.9875,1,0.9974,0.9922,1,391,372,239,237,274,1,"TMU_CRD"
1000,0.9941,0.9875,1,0.9974,0.9922,1,350,325,239,237,274,1,"TMU_CRD"
1250,0.9941,0.9875,1,0.9974,0.9922,1,308,291,239,237,274,1,"TMU_CRD"
1500,0.9941,0.9875,1,0.9974,0.9922,1,265,270,239,237,274,1,"TMU_CRD"
1750,0.9941,0.9875,1,0.9974,0.9922,1,217,234,239,237,274,1,"TMU_CRD"
2000,0.9941,0.9875,1,0.9974,0.9922,1,171,196,239,237,274,1,"TMU_CRD"
2250,0.9941,0.9875,1,0.9974,0.9922,1,138,167,239,237,274,1,"TMU_CRD"
2500,0.9941,0.9875,1,0.9974,0.9922,1,119,141,239,237,274,1,"TMU_CRD"
2750,0.9941,0.9875,1,0.9974,0.9922,1,95,113,239,237,274,1,"TMU_CRD"
3000,0.9941,0.9875,1,0.9974,0.9922,1,73,96,239,237,274,1,"TMU_CRD"
3250,0.9941,0.9875,1,0.9974,0.9922,1,57,70,239,237,274,1,"TMU_CRD"
0,1,1,1,1,1,1,529,529,239,237,277,1,"TMU_CRD"
13,1,1,1,1,1,1,NA,NA,239,237,277,1,"TMU_CRD"
250,1,1,1,1,1,1,480,466,239,237,277,1,"TMU_CRD"
416,0.9978,0.9935,1,1,1,1,NA,NA,239,237,277,1,"TMU_CRD"
500,0.9978,0.9935,1,1,1,1,431,428,239,237,277,1,"TMU_CRD"
750,0.9978,0.9935,1,1,1,1,391,372,239,237,277,1,"TMU_CRD"
1000,0.9978,0.9935,1,1,1,1,349,325,239,237,277,1,"TMU_CRD"
1250,0.9978,0.9935,1,1,1,1,308,291,239,237,277,1,"TMU_CRD"
1391,0.9978,0.9935,1,0.9964,0.9895,1,NA,NA,239,237,277,1,"TMU_CRD"
1500,0.9978,0.9935,1,0.9964,0.9895,1,265,269,239,237,277,1,"TMU_CRD"
1750,0.9978,0.9935,1,0.9964,0.9895,1,218,233,239,237,277,1,"TMU_CRD"
2000,0.9978,0.9935,1,0.9964,0.9895,1,171,195,239,237,277,1,"TMU_CRD"
2250,0.9978,0.9935,1,0.9964,0.9895,1,138,166,239,237,277,1,"TMU_CRD"
2500,0.9978,0.9935,1,0.9964,0.9895,1,119,140,239,237,277,1,"TMU_CRD"
2750,0.9978,0.9935,1,0.9964,0.9895,1,96,112,239,237,277,1,"TMU_CRD"
3000,0.9978,0.9935,1,0.9964,0.9895,1,74,95,239,237,277,1,"TMU_CRD"
3250,0.9978,0.9935,1,0.9964,0.9895,1,57,69,239,237,277,1,"TMU_CRD"
0,1,1,1,1,1,1,530,530,239,237,281,1,"TMU_CRD"
13,1,1,1,1,1,1,NA,NA,239,237,281,1,"TMU_CRD"
250,1,1,1,1,1,1,481,467,239,237,281,1,"TMU_CRD"
500,1,1,1,1,1,1,433,429,239,237,281,1,"TMU_CRD"
750,1,1,1,1,1,1,393,373,239,237,281,1,"TMU_CRD"
1000,1,1,1,1,1,1,352,326,239,237,281,1,"TMU_CRD"
1250,1,1,1,1,1,1,310,292,239,237,281,1,"TMU_CRD"
1500,1,1,1,1,1,1,266,271,239,237,281,1,"TMU_CRD"
1750,1,1,1,1,1,1,218,235,239,237,281,1,"TMU_CRD"
2000,1,1,1,1,1,1,172,197,239,237,281,1,"TMU_CRD"
2250,1,1,1,1,1,1,139,168,239,237,281,1,"TMU_CRD"
2500,1,1,1,1,1,1,120,141,239,237,281,1,"TMU_CRD"
2750,1,1,1,1,1,1,96,113,239,237,281,1,"TMU_CRD"
3000,1,1,1,1,1,1,74,96,239,237,281,1,"TMU_CRD"
3250,1,1,1,1,1,1,57,70,239,237,281,1,"TMU_CRD"
0,1,1,1,1,1,1,530,530,239,237,283,1,"TMU_CRD"
13,1,1,1,1,1,1,NA,NA,239,237,283,1,"TMU_CRD"
250,1,1,1,1,1,1,481,467,239,237,283,1,"TMU_CRD"
372,1,1,1,0.9978,0.9935,1,NA,NA,239,237,283,1,"TMU_CRD"
500,1,1,1,0.9978,0.9935,1,433,428,239,237,283,1,"TMU_CRD"
750,1,1,1,0.9978,0.9935,1,393,372,239,237,283,1,"TMU_CRD"
1000,1,1,1,0.9978,0.9935,1,352,326,239,237,283,1,"TMU_CRD"
1250,1,1,1,0.9978,0.9935,1,310,292,239,237,283,1,"TMU_CRD"
1500,1,1,1,0.9978,0.9935,1,266,271,239,237,283,1,"TMU_CRD"
1750,1,1,1,0.9978,0.9935,1,218,235,239,237,283,1,"TMU_CRD"
1993,0.9943,0.9831,1,0.9978,0.9935,1,NA,NA,239,237,283,1,"TMU_CRD"
2000,0.9943,0.9831,1,0.9978,0.9935,1,171,197,239,237,283,1,"TMU_CRD"
2250,0.9943,0.9831,1,0.9978,0.9935,1,138,168,239,237,283,1,"TMU_CRD"
2500,0.9943,0.9831,1,0.9978,0.9935,1,119,141,239,237,283,1,"TMU_CRD"
2750,0.9943,0.9831,1,0.9978,0.9935,1,95,113,239,237,283,1,"TMU_CRD"
3000,0.9943,0.9831,1,0.9978,0.9935,1,74,96,239,237,283,1,"TMU_CRD"
3250,0.9943,0.9831,1,0.9978,0.9935,1,57,70,239,237,283,1,"TMU_CRD"
0,1,1,1,1,1,1,530,530,239,237,284,1,"TMU_CRD"
13,1,1,1,1,1,1,NA,NA,239,237,284,1,"TMU_CRD"
250,1,1,1,1,1,1,481,467,239,237,284,1,"TMU_CRD"
500,1,1,1,1,1,1,433,429,239,237,284,1,"TMU_CRD"
750,1,1,1,1,1,1,393,373,239,237,284,1,"TMU_CRD"
1000,1,1,1,1,1,1,352,326,239,237,284,1,"TMU_CRD"
1250,1,1,1,1,1,1,310,292,239,237,284,1,"TMU_CRD"
1500,1,1,1,1,1,1,266,271,239,237,284,1,"TMU_CRD"
1750,1,1,1,1,1,1,218,235,239,237,284,1,"TMU_CRD"
2000,1,1,1,1,1,1,172,197,239,237,284,1,"TMU_CRD"
2250,1,1,1,1,1,1,139,168,239,237,284,1,"TMU_CRD"
2500,1,1,1,1,1,1,120,141,239,237,284,1,"TMU_CRD"
2750,1,1,1,1,1,1,96,113,239,237,284,1,"TMU_CRD"
3000,1,1,1,1,1,1,74,96,239,237,284,1,"TMU_CRD"
3250,1,1,1,1,1,1,57,70,239,237,284,1,"TMU_CRD"
0,1,1,1,1,1,1,530,530,239,237,285,1,"TMU_CRD"
13,1,1,1,1,1,1,NA,NA,239,237,285,1,"TMU_CRD"
250,1,1,1,1,1,1,481,467,239,237,285,1,"TMU_CRD"
500,1,1,1,1,1,1,433,429,239,237,285,1,"TMU_CRD"
750,1,1,1,1,1,1,393,373,239,237,285,1,"TMU_CRD"
1000,1,1,1,1,1,1,352,326,239,237,285,1,"TMU_CRD"
1250,1,1,1,1,1,1,310,292,239,237,285,1,"TMU_CRD"
1500,1,1,1,1,1,1,266,271,239,237,285,1,"TMU_CRD"
1750,1,1,1,1,1,1,218,235,239,237,285,1,"TMU_CRD"
2000,1,1,1,1,1,1,172,197,239,237,285,1,"TMU_CRD"
2250,1,1,1,1,1,1,139,168,239,237,285,1,"TMU_CRD"
2500,1,1,1,1,1,1,120,141,239,237,285,1,"TMU_CRD"
2750,1,1,1,1,1,1,96,113,239,237,285,1,"TMU_CRD"
3000,1,1,1,1,1,1,74,96,239,237,285,1,"TMU_CRD"
3250,1,1,1,1,1,1,57,70,239,237,285,1,"TMU_CRD"
0,1,1,1,1,1,1,530,530,239,237,286,1,"TMU_CRD"
13,1,1,1,1,1,1,NA,NA,239,237,286,1,"TMU_CRD"
250,1,1,1,1,1,1,481,467,239,237,286,1,"TMU_CRD"
500,1,1,1,1,1,1,433,429,239,237,286,1,"TMU_CRD"
750,1,1,1,1,1,1,393,373,239,237,286,1,"TMU_CRD"
1000,1,1,1,1,1,1,352,326,239,237,286,1,"TMU_CRD"
1250,1,1,1,1,1,1,310,292,239,237,286,1,"TMU_CRD"
1500,1,1,1,1,1,1,266,271,239,237,286,1,"TMU_CRD"
1750,1,1,1,1,1,1,218,235,239,237,286,1,"TMU_CRD"
2000,1,1,1,1,1,1,172,197,239,237,286,1,"TMU_CRD"
2250,1,1,1,1,1,1,139,168,239,237,286,1,"TMU_CRD"
2500,1,1,1,1,1,1,120,141,239,237,286,1,"TMU_CRD"
2750,1,1,1,1,1,1,96,113,239,237,286,1,"TMU_CRD"
3000,1,1,1,1,1,1,74,96,239,237,286,1,"TMU_CRD"
3250,1,1,1,1,1,1,57,70,239,237,286,1,"TMU_CRD"
0,1,1,1,1,1,1,512,512,239,237,290,1,"TMU_CRD"
5,1,1,1,0.998,0.9942,1,NA,NA,239,237,290,1,"TMU_CRD"
6,0.998,0.9942,1,0.998,0.9942,1,NA,NA,239,237,290,1,"TMU_CRD"
8,0.998,0.9942,1,0.9961,0.9907,1,NA,NA,239,237,290,1,"TMU_CRD"
22,0.998,0.9942,1,0.9941,0.9875,1,NA,NA,239,237,290,1,"TMU_CRD"
214,0.9959,0.9903,1,0.9941,0.9875,1,NA,NA,239,237,290,1,"TMU_CRD"
250,0.9959,0.9903,1,0.9941,0.9875,1,461,450,239,237,290,1,"TMU_CRD"
313,0.9959,0.9903,1,0.9919,0.984,0.9999,NA,NA,239,237,290,1,"TMU_CRD"
379,0.9937,0.9866,1,0.9919,0.984,0.9999,NA,NA,239,237,290,1,"TMU_CRD"
395,0.9937,0.9866,1,0.9896,0.9805,0.9987,NA,NA,239,237,290,1,"TMU_CRD"
427,0.9914,0.983,0.9998,0.9896,0.9805,0.9987,NA,NA,239,237,290,1,"TMU_CRD"
500,0.9914,0.983,0.9998,0.9896,0.9805,0.9987,412,411,239,237,290,1,"TMU_CRD"
592,0.9914,0.983,0.9998,0.987,0.9766,0.9975,NA,NA,239,237,290,1,"TMU_CRD"
709,0.9914,0.983,0.9998,0.9842,0.9726,0.996,NA,NA,239,237,290,1,"TMU_CRD"
750,0.9914,0.983,0.9998,0.9842,0.9726,0.996,374,354,239,237,290,1,"TMU_CRD"
957,0.9914,0.983,0.9998,0.9811,0.968,0.9944,NA,NA,239,237,290,1,"TMU_CRD"
977,0.9885,0.9783,0.9987,0.9811,0.968,0.9944,NA,NA,239,237,290,1,"TMU_CRD"
1000,0.9885,0.9783,0.9987,0.9811,0.968,0.9944,333,309,239,237,290,1,"TMU_CRD"
1250,0.9885,0.9783,0.9987,0.9811,0.968,0.9944,292,275,239,237,290,1,"TMU_CRD"
1407,0.9847,0.9723,0.9973,0.9811,0.968,0.9944,NA,NA,239,237,290,1,"TMU_CRD"
1500,0.9847,0.9723,0.9973,0.9811,0.968,0.9944,247,257,239,237,290,1,"TMU_CRD"
1580,0.9847,0.9723,0.9973,0.9771,0.962,0.9925,NA,NA,239,237,290,1,"TMU_CRD"
1643,0.9847,0.9723,0.9973,0.973,0.956,0.9903,NA,NA,239,237,290,1,"TMU_CRD"
1750,0.9847,0.9723,0.9973,0.973,0.956,0.9903,205,221,239,237,290,1,"TMU_CRD"
1787,0.9847,0.9723,0.9973,0.9685,0.9495,0.9879,NA,NA,239,237,290,1,"TMU_CRD"
1806,0.9847,0.9723,0.9973,0.964,0.9431,0.9853,NA,NA,239,237,290,1,"TMU_CRD"
2000,0.9847,0.9723,0.9973,0.964,0.9431,0.9853,163,182,239,237,290,1,"TMU_CRD"
2226,0.9775,0.9588,0.9965,0.964,0.9431,0.9853,NA,NA,239,237,290,1,"TMU_CRD"
2250,0.9775,0.9588,0.9965,0.964,0.9431,0.9853,133,154,239,237,290,1,"TMU_CRD"
2253,0.9775,0.9588,0.9965,0.9577,0.9338,0.9823,NA,NA,239,237,290,1,"TMU_CRD"
2432,0.9775,0.9588,0.9965,0.9506,0.9233,0.9788,NA,NA,239,237,290,1,"TMU_CRD"
2500,0.9775,0.9588,0.9965,0.9506,0.9233,0.9788,114,127,239,237,290,1,"TMU_CRD"
2581,0.9775,0.9588,0.9965,0.9424,0.9111,0.9748,NA,NA,239,237,290,1,"TMU_CRD"
2750,0.9775,0.9588,0.9965,0.9424,0.9111,0.9748,91,100,239,237,290,1,"TMU_CRD"
2850,0.9775,0.9588,0.9965,0.9325,0.8963,0.9702,NA,NA,239,237,290,1,"TMU_CRD"
3000,0.9775,0.9588,0.9965,0.9325,0.8963,0.9702,69,82,239,237,290,1,"TMU_CRD"
3039,0.9626,0.929,0.9975,0.9325,0.8963,0.9702,NA,NA,239,237,290,1,"TMU_CRD"
3165,0.946,0.9006,0.9938,0.9325,0.8963,0.9702,NA,NA,239,237,290,1,"TMU_CRD"
3250,0.946,0.9006,0.9938,0.9325,0.8963,0.9702,50,58,239,237,290,1,"TMU_CRD"
0,1,1,1,1,1,1,529,529,239,237,291,1,"TMU_CRD"
13,1,1,1,1,1,1,NA,NA,239,237,291,1,"TMU_CRD"
250,1,1,1,1,1,1,479,466,239,237,291,1,"TMU_CRD"
416,0.9978,0.9935,1,1,1,1,NA,NA,239,237,291,1,"TMU_CRD"
500,0.9978,0.9935,1,1,1,1,430,428,239,237,291,1,"TMU_CRD"
750,0.9978,0.9935,1,1,1,1,390,372,239,237,291,1,"TMU_CRD"
1000,0.9978,0.9935,1,1,1,1,348,325,239,237,291,1,"TMU_CRD"
1250,0.9978,0.9935,1,1,1,1,307,291,239,237,291,1,"TMU_CRD"
1391,0.9978,0.9935,1,0.9964,0.9895,1,NA,NA,239,237,291,1,"TMU_CRD"
1500,0.9978,0.9935,1,0.9964,0.9895,1,264,269,239,237,291,1,"TMU_CRD"
1750,0.9978,0.9935,1,0.9964,0.9895,1,218,234,239,237,291,1,"TMU_CRD"
2000,0.9978,0.9935,1,0.9964,0.9895,1,171,195,239,237,291,1,"TMU_CRD"
2250,0.9978,0.9935,1,0.9964,0.9895,1,138,166,239,237,291,1,"TMU_CRD"
2500,0.9978,0.9935,1,0.9964,0.9895,1,119,140,239,237,291,1,"TMU_CRD"
2750,0.9978,0.9935,1,0.9964,0.9895,1,96,112,239,237,291,1,"TMU_CRD"
3000,0.9978,0.9935,1,0.9964,0.9895,1,74,95,239,237,291,1,"TMU_CRD"
3250,0.9978,0.9935,1,0.9964,0.9895,1,57,69,239,237,291,1,"TMU_CRD"
0,1,1,1,1,1,1,510,510,239,237,292,1,"TMU_CRD"
8,1,1,1,0.998,0.9942,1,NA,NA,239,237,292,1,"TMU_CRD"
38,0.998,0.9942,1,0.998,0.9942,1,NA,NA,239,237,292,1,"TMU_CRD"
49,0.998,0.9942,1,0.996,0.9906,1,NA,NA,239,237,292,1,"TMU_CRD"
133,0.998,0.9942,1,0.9939,0.9871,1,NA,NA,239,237,292,1,"TMU_CRD"
134,0.9959,0.9904,1,0.9939,0.9871,1,NA,NA,239,237,292,1,"TMU_CRD"
145,0.9959,0.9904,1,0.9918,0.9838,0.9998,NA,NA,239,237,292,1,"TMU_CRD"
183,0.9939,0.987,1,0.9918,0.9838,0.9998,NA,NA,239,237,292,1,"TMU_CRD"
219,0.9917,0.9837,0.9998,0.9918,0.9838,0.9998,NA,NA,239,237,292,1,"TMU_CRD"
250,0.9917,0.9837,0.9998,0.9918,0.9838,0.9998,458,446,239,237,292,1,"TMU_CRD"
296,0.9917,0.9837,0.9998,0.9895,0.9805,0.9987,NA,NA,239,237,292,1,"TMU_CRD"
331,0.9917,0.9837,0.9998,0.9873,0.9772,0.9975,NA,NA,239,237,292,1,"TMU_CRD"
364,0.9895,0.9803,0.9987,0.9873,0.9772,0.9975,NA,NA,239,237,292,1,"TMU_CRD"
417,0.9872,0.977,0.9974,0.9873,0.9772,0.9975,NA,NA,239,237,292,1,"TMU_CRD"
500,0.9872,0.977,0.9974,0.9873,0.9772,0.9975,408,407,239,237,292,1,"TMU_CRD"
519,0.9872,0.977,0.9974,0.9848,0.9737,0.9961,NA,NA,239,237,292,1,"TMU_CRD"
527,0.9872,0.977,0.9974,0.9824,0.9703,0.9946,NA,NA,239,237,292,1,"TMU_CRD"
533,0.9847,0.9736,0.9961,0.9824,0.9703,0.9946,NA,NA,239,237,292,1,"TMU_CRD"
563,0.9847,0.9736,0.9961,0.9798,0.9668,0.993,NA,NA,239,237,292,1,"TMU_CRD"
737,0.9821,0.9698,0.9945,0.9798,0.9668,0.993,NA,NA,239,237,292,1,"TMU_CRD"
750,0.9821,0.9698,0.9945,0.9798,0.9668,0.993,368,351,239,237,292,1,"TMU_CRD"
813,0.9821,0.9698,0.9945,0.9769,0.9628,0.9913,NA,NA,239,237,292,1,"TMU_CRD"
818,0.9821,0.9698,0.9945,0.974,0.9588,0.9894,NA,NA,239,237,292,1,"TMU_CRD"
872,0.9793,0.9659,0.9929,0.974,0.9588,0.9894,NA,NA,239,237,292,1,"TMU_CRD"
879,0.9765,0.9621,0.9911,0.974,0.9588,0.9894,NA,NA,239,237,292,1,"TMU_CRD"
980,0.9735,0.9581,0.9892,0.974,0.9588,0.9894,NA,NA,239,237,292,1,"TMU_CRD"
1000,0.9735,0.9581,0.9892,0.974,0.9588,0.9894,328,303,239,237,292,1,"TMU_CRD"
1017,0.9735,0.9581,0.9892,0.9708,0.9544,0.9874,NA,NA,239,237,292,1,"TMU_CRD"
1074,0.9704,0.9539,0.9873,0.9708,0.9544,0.9874,NA,NA,239,237,292,1,"TMU_CRD"
1250,0.9704,0.9539,0.9873,0.9708,0.9544,0.9874,286,268,239,237,292,1,"TMU_CRD"
1275,0.9704,0.9539,0.9873,0.9671,0.9494,0.9852,NA,NA,239,237,292,1,"TMU_CRD"
1289,0.9704,0.9539,0.9873,0.9635,0.9444,0.9829,NA,NA,239,237,292,1,"TMU_CRD"
1319,0.9704,0.9539,0.9873,0.9598,0.9395,0.9805,NA,NA,239,237,292,1,"TMU_CRD"
1323,0.9704,0.9539,0.9873,0.9561,0.9346,0.978,NA,NA,239,237,292,1,"TMU_CRD"
1402,0.9667,0.9488,0.985,0.9561,0.9346,0.978,NA,NA,239,237,292,1,"TMU_CRD"
1421,0.9667,0.9488,0.985,0.9523,0.9297,0.9754,NA,NA,239,237,292,1,"TMU_CRD"
1467,0.9667,0.9488,0.985,0.9484,0.9248,0.9727,NA,NA,239,237,292,1,"TMU_CRD"
1500,0.9667,0.9488,0.985,0.9484,0.9248,0.9727,246,243,239,237,292,1,"TMU_CRD"
1519,0.9667,0.9488,0.985,0.9445,0.9198,0.9699,NA,NA,239,237,292,1,"TMU_CRD"
1525,0.9667,0.9488,0.985,0.9405,0.9148,0.967,NA,NA,239,237,292,1,"TMU_CRD"
1659,0.9623,0.9425,0.9825,0.9405,0.9148,0.967,NA,NA,239,237,292,1,"TMU_CRD"
1750,0.9623,0.9425,0.9825,0.9405,0.9148,0.967,202,207,239,237,292,1,"TMU_CRD"
1845,0.9623,0.9425,0.9825,0.9357,0.9085,0.9638,NA,NA,239,237,292,1,"TMU_CRD"
1896,0.9568,0.9345,0.9797,0.9357,0.9085,0.9638,NA,NA,239,237,292,1,"TMU_CRD"
1912,0.9568,0.9345,0.9797,0.9307,0.902,0.9604,NA,NA,239,237,292,1,"TMU_CRD"
1977,0.9568,0.9345,0.9797,0.9254,0.8952,0.9567,NA,NA,239,237,292,1,"TMU_CRD"
2000,0.9568,0.9345,0.9797,0.9254,0.8952,0.9567,156,169,239,237,292,1,"TMU_CRD"
2230,0.9495,0.9232,0.9765,0.9254,0.8952,0.9567,NA,NA,239,237,292,1,"TMU_CRD"
2232,0.942,0.9123,0.9727,0.9254,0.8952,0.9567,NA,NA,239,237,292,1,"TMU_CRD"
2250,0.942,0.9123,0.9727,0.9254,0.8952,0.9567,126,144,239,237,292,1,"TMU_CRD"
2283,0.9344,0.9016,0.9684,0.9254,0.8952,0.9567,NA,NA,239,237,292,1,"TMU_CRD"
2296,0.9267,0.891,0.9638,0.9254,0.8952,0.9567,NA,NA,239,237,292,1,"TMU_CRD"
2346,0.9267,0.891,0.9638,0.9184,0.8855,0.9525,NA,NA,239,237,292,1,"TMU_CRD"
2416,0.9182,0.8793,0.9587,0.9184,0.8855,0.9525,NA,NA,239,237,292,1,"TMU_CRD"
2424,0.9182,0.8793,0.9587,0.9111,0.8756,0.948,NA,NA,239,237,292,1,"TMU_CRD"
2500,0.9182,0.8793,0.9587,0.9111,0.8756,0.948,105,118,239,237,292,1,"TMU_CRD"
2531,0.9094,0.8676,0.9533,0.9111,0.8756,0.948,NA,NA,239,237,292,1,"TMU_CRD"
2746,0.8986,0.8525,0.9472,0.9111,0.8756,0.948,NA,NA,239,237,292,1,"TMU_CRD"
2750,0.8986,0.8525,0.9472,0.9111,0.8756,0.948,83,95,239,237,292,1,"TMU_CRD"
2805,0.8986,0.8525,0.9472,0.9013,0.8616,0.9428,NA,NA,239,237,292,1,"TMU_CRD"
2991,0.8986,0.8525,0.9472,0.8897,0.845,0.9369,NA,NA,239,237,292,1,"TMU_CRD"
3000,0.8986,0.8525,0.9472,0.8897,0.845,0.9369,66,77,239,237,292,1,"TMU_CRD"
3250,0.8986,0.8525,0.9472,0.8897,0.845,0.9369,53,58,239,237,292,1,"TMU_CRD"
3269,0.8986,0.8525,0.9472,0.8741,0.8214,0.9302,NA,NA,239,237,292,1,"TMU_CRD"
0,1,1,1,1,1,1,482,482,239,237,59,1,"TMU_CRD"
1,0.9938,0.9868,1,0.9979,0.9939,1,NA,NA,239,237,59,1,"TMU_CRD"
3,0.9938,0.9868,1,0.9959,0.9901,1,NA,NA,239,237,59,1,"TMU_CRD"
4,0.9917,0.9836,0.9998,0.9959,0.9901,1,NA,NA,239,237,59,1,"TMU_CRD"
8,0.9896,0.9806,0.9987,0.9917,0.9836,0.9998,NA,NA,239,237,59,1,"TMU_CRD"
20,0.9875,0.9777,0.9975,0.9917,0.9836,0.9998,NA,NA,239,237,59,1,"TMU_CRD"
22,0.9855,0.9748,0.9962,0.9896,0.9806,0.9987,NA,NA,239,237,59,1,"TMU_CRD"
36,0.9834,0.972,0.9949,0.9896,0.9806,0.9987,NA,NA,239,237,59,1,"TMU_CRD"
37,0.9813,0.9692,0.9935,0.9896,0.9806,0.9987,NA,NA,239,237,59,1,"TMU_CRD"
38,0.9792,0.9665,0.992,0.9896,0.9806,0.9987,NA,NA,239,237,59,1,"TMU_CRD"
40,0.9792,0.9665,0.992,0.9875,0.9776,0.9975,NA,NA,239,237,59,1,"TMU_CRD"
49,0.9792,0.9665,0.992,0.9854,0.9747,0.9962,NA,NA,239,237,59,1,"TMU_CRD"
56,0.9792,0.9665,0.992,0.9811,0.9689,0.9934,NA,NA,239,237,59,1,"TMU_CRD"
73,0.9792,0.9665,0.992,0.9789,0.9661,0.9919,NA,NA,239,237,59,1,"TMU_CRD"
74,0.9792,0.9665,0.992,0.9767,0.9633,0.9904,NA,NA,239,237,59,1,"TMU_CRD"
